query,response
"I want a pirate sword thankyou","{""core_type"": ""sword"", ""modifiers"": [""pirate""], ""compound_type"": ""pirate sword""}"
"Create a modern gaming chair","{""core_type"": ""chair"", ""modifiers"": [""modern"", ""gaming""], ""compound_type"": ""gaming chair""}"
"Can you make me a steampunk pocket watch","{""core_type"": ""watch"", ""modifiers"": [""steampunk"", ""pocket""], ""compound_type"": ""steampunk pocket watch""}"
"I need a minimalist desk lamp","{""core_type"": ""lamp"", ""modifiers"": [""minimalist"", ""desk""], ""compound_type"": ""desk lamp""}"
"Design an industrial coffee table","{""core_type"": ""table"", ""modifiers"": [""industrial"", ""coffee""], ""compound_type"": ""coffee table""}"
"Create a rustic wooden bookshelf","{""core_type"": ""bookshelf"", ""modifiers"": [""rustic"", ""wooden""], ""compound_type"": ""wooden bookshelf""}"
"I want a futuristic robot companion","{""core_type"": ""robot"", ""modifiers"": [""futuristic"", ""companion""], ""compound_type"": ""companion robot""}"
"Make a vintage record player","{""core_type"": ""player"", ""modifiers"": [""vintage"", ""record""], ""compound_type"": ""record player""}"
"Design an elegant wine glass","{""core_type"": ""glass"", ""modifiers"": [""elegant"", ""wine""], ""compound_type"": ""wine glass""}"
"Create a medieval castle tower","{""core_type"": ""tower"", ""modifiers"": [""medieval"", ""castle""], ""compound_type"": ""castle tower""}"
"I need a modern office desk","{""core_type"": ""desk"", ""modifiers"": [""modern"", ""office""], ""compound_type"": ""office desk""}"
"Make an antique grandfather clock","{""core_type"": ""clock"", ""modifiers"": [""antique"", ""grandfather""], ""compound_type"": ""grandfather clock""}"
"Design a sci-fi spaceship","{""core_type"": ""spaceship"", ""modifiers"": [""sci-fi""], ""compound_type"": ""sci-fi spaceship""}"
"Create a gothic chandelier","{""core_type"": ""chandelier"", ""modifiers"": [""gothic""], ""compound_type"": ""gothic chandelier""}"
"I want a retro arcade cabinet","{""core_type"": ""cabinet"", ""modifiers"": [""retro"", ""arcade""], ""compound_type"": ""arcade cabinet""}"
"Make a decorative wall mirror","{""core_type"": ""mirror"", ""modifiers"": [""decorative"", ""wall""], ""compound_type"": ""wall mirror""}"
"Design an art deco vase","{""core_type"": ""vase"", ""modifiers"": [""art deco""], ""compound_type"": ""art deco vase""}"
"Create a victorian dollhouse","{""core_type"": ""dollhouse"", ""modifiers"": [""victorian""], ""compound_type"": ""victorian dollhouse""}"
"I need a contemporary dining table","{""core_type"": ""table"", ""modifiers"": [""contemporary"", ""dining""], ""compound_type"": ""dining table""}"
"Make a classic chess set","{""core_type"": ""chess set"", ""modifiers"": [""classic""], ""compound_type"": ""classic chess set""}"
"Design a fantasy wizard staff","{""core_type"": ""staff"", ""modifiers"": [""fantasy"", ""wizard""], ""compound_type"": ""wizard staff""}"
"Create an industrial ceiling fan","{""core_type"": ""fan"", ""modifiers"": [""industrial"", ""ceiling""], ""compound_type"": ""ceiling fan""}"
"I want a baroque picture frame","{""core_type"": ""frame"", ""modifiers"": [""baroque"", ""picture""], ""compound_type"": ""picture frame""}"
"Make a minimalist wall clock","{""core_type"": ""clock"", ""modifiers"": [""minimalist"", ""wall""], ""compound_type"": ""wall clock""}"
"Design a rustic coffee mug","{""core_type"": ""mug"", ""modifiers"": [""rustic"", ""coffee""], ""compound_type"": ""coffee mug""}"
"Create a futuristic helmet","{""core_type"": ""helmet"", ""modifiers"": [""futuristic""], ""compound_type"": ""futuristic helmet""}"
